class_number,label,wordnet_id
752,"racket, racquet",n04039381
753,radiator,n04040759
754,"radio, wireless",n04041544
755,"radio telescope, radio reflector",n04044716
756,rain barrel,n04049303
757,"recreational vehicle, RV, R.V.",n04065272
758,reel,n04067472
759,reflex camera,n04069434
760,"refrigerator, icebox",n04070727
761,"remote control, remote",n04074963
762,"restaurant, eating house, eating place, eatery",n04081281
763,"revolver, six-gun, six-shooter",n04086273
764,rifle,n04090263
765,"rocking chair, rocker",n04099969
766,rotisserie,n04111531
767,"rubber eraser, rubber, pencil eraser",n04116512
768,rugby ball,n04118538
769,"rule, ruler",n04118776
770,running shoe,n04120489
771,safe,n04125021
772,safety pin,n04127249
773,"saltshaker, salt shaker",n04131690
774,sandal,n04133789
775,sarong,n04136333
776,"sax, saxophone",n04141076
777,scabbard,n04141327
778,"scale, weighing machine",n04141975
779,school bus,n04146614
780,schooner,n04147183
781,scoreboard,n04149813
782,"screen, CRT screen",n04152593
783,screw,n04153751
784,screwdriver,n04154565
785,"seat belt, seatbelt",n04162706
786,sewing machine,n04179913
787,"shield, buckler",n04192698
788,"shoe shop, shoe-shop, shoe store",n04200800
789,shoji,n04201297
790,shopping basket,n04204238
791,shopping cart,n04204347
792,shovel,n04208210
793,shower cap,n04209133
794,shower curtain,n04209239
795,ski,n04228054
796,ski mask,n04229816
797,sleeping bag,n04235860
798,"slide rule, slipstick",n04238763
799,sliding door,n04239074
800,"slot, one-armed bandit",n04243546
801,snorkel,n04251144
802,snowmobile,n04252077
803,"snowplow, snowplough",n04252225
804,soap dispenser,n04254120
805,soccer ball,n04254680
806,sock,n04254777
807,"solar dish, solar collector, solar furnace",n04258138
808,sombrero,n04259630
809,soup bowl,n04263257
810,space bar,n04264628
811,space heater,n04265275
812,space shuttle,n04266014
813,spatula,n04270147
814,speedboat,n04273569
815,"spider web, spider's web",n04275548
816,spindle,n04277352
817,"sports car, sport car",n04285008
818,"spotlight, spot",n04286575
819,stage,n04296562
820,steam locomotive,n04310018
821,steel arch bridge,n04311004
822,steel drum,n04311174
823,stethoscope,n04317175
824,stole,n04325704
825,stone wall,n04326547
826,"stopwatch, stop watch",n04328186
827,stove,n04330267
828,strainer,n04332243
829,"streetcar, tram, tramcar, trolley, trolley car",n04335435
830,stretcher,n04336792
831,"studio couch, day bed",n04344873
832,"stupa, tope",n04346328
833,"submarine, pigboat, sub, U-boat",n04347754
834,"suit, suit of clothes",n04350905
835,sundial,n04355338
836,sunglass,n04355933
837,"sunglasses, dark glasses, shades",n04356056
838,"sunscreen, sunblock, sun blocker",n04357314
839,suspension bridge,n04366367
840,"swab, swob, mop",n04367480
841,sweatshirt,n04370456
842,"swimming trunks, bathing trunks",n04371430
843,swing,n04371774
844,"switch, electric switch, electrical switch",n04372370
845,syringe,n04376876
846,table lamp,n04380533
847,"tank, army tank, armored combat vehicle, armoured combat vehicle",n04389033
848,tape player,n04392985
849,teapot,n04398044
850,"teddy, teddy bear",n04399382
851,"television, television system",n04404412
852,tennis ball,n04409515
853,"thatch, thatched roof",n04417672
854,"theater curtain, theatre curtain",n04418357
855,thimble,n04423845
856,"thresher, thrasher, threshing machine",n04428191
857,throne,n04429376
858,tile roof,n04435653
859,toaster,n04442312
860,"tobacco shop, tobacconist shop, tobacconist",n04443257
861,toilet seat,n04447861
862,torch,n04456115
863,totem pole,n04458633
864,"tow truck, tow car, wrecker",n04461696
865,toyshop,n04462240
866,tractor,n04465501
867,"trailer truck, tractor trailer, trucking rig, rig, articulated lorry, semi",n04467665
868,tray,n04476259
869,trench coat,n04479046
870,"tricycle, trike, velocipede",n04482393
871,trimaran,n04483307
872,tripod,n04485082
873,triumphal arch,n04486054
874,"trolleybus, trolley coach, trackless trolley",n04487081
875,trombone,n04487394
876,"tub, vat",n04493381
877,turnstile,n04501370
878,typewriter keyboard,n04505470
879,umbrella,n04507155
880,"unicycle, monocycle",n04509417
881,"upright, upright piano",n04515003
882,"vacuum, vacuum cleaner",n04517823
883,vase,n04522168
884,vault,n04523525
885,velvet,n04525038
886,vending machine,n04525305
887,vestment,n04532106
888,viaduct,n04532670
889,"violin, fiddle",n04536866
890,volleyball,n04540053
891,waffle iron,n04542943
892,wall clock,n04548280
893,"wallet, billfold, notecase, pocketbook",n04548362
894,"wardrobe, closet, press",n04550184
895,"warplane, military plane",n04552348
896,"washbasin, handbasin, washbowl, lavabo, wash-hand basin",n04553703
897,"washer, automatic washer, washing machine",n04554684
898,water bottle,n04557648
899,water jug,n04560804
900,water tower,n04562935
901,whiskey jug,n04579145
902,whistle,n04579432
903,wig,n04584207
904,window screen,n04589890
905,window shade,n04590129
906,Windsor tie,n04591157
907,wine bottle,n04591713
908,wing,n04592741
909,wok,n04596742
910,wooden spoon,n04597913
911,"wool, woolen, woollen",n04599235
912,"worm fence, snake fence, snake-rail fence, Virginia fence",n04604644
913,wreck,n04606251
914,yawl,n04612504
915,yurt,n04613696
916,"web site, website, internet site, site",n06359193
917,comic book,n06596364
918,"crossword puzzle, crossword",n06785654
919,street sign,n06794110
920,"traffic light, traffic signal, stoplight",n06874185
921,"book jacket, dust cover, dust jacket, dust wrapper",n07248320
922,menu,n07565083
923,plate,n07579787
924,guacamole,n07583066
925,consomme,n07584110
926,"hot pot, hotpot",n07590611
927,trifle,n07613480
928,"ice cream, icecream",n07614500
929,"ice lolly, lolly, lollipop, popsicle",n07615774
930,French loaf,n07684084
931,"bagel, beigel",n07693725
932,pretzel,n07695742
933,cheeseburger,n07697313
934,"hotdog, hot dog, red hot",n07697537
935,mashed potato,n07711569
936,head cabbage,n07714571
937,broccoli,n07714990
938,cauliflower,n07715103
939,"zucchini, courgette",n07716358
940,spaghetti squash,n07716906
941,acorn squash,n07717410
942,butternut squash,n07717556
943,"cucumber, cuke",n07718472
944,"artichoke, globe artichoke",n07718747
945,bell pepper,n07720875
946,cardoon,n07730033
947,mushroom,n07734744
948,Granny Smith,n07742313
949,strawberry,n07745940
950,orange,n07747607
951,lemon,n07749582
952,fig,n07753113
953,"pineapple, ananas",n07753275
954,banana,n07753592
955,"jackfruit, jak, jack",n07754684
956,custard apple,n07760859
957,pomegranate,n07768694
958,hay,n07802026
959,carbonara,n07831146
960,"chocolate sauce, chocolate syrup",n07836838
961,dough,n07860988
962,"meat loaf, meatloaf",n07871810
963,"pizza, pizza pie",n07873807
964,potpie,n07875152
965,burrito,n07880968
966,red wine,n07892512
967,espresso,n07920052
968,cup,n07930864
969,eggnog,n07932039
970,alp,n09193705
971,bubble,n09229709
972,"cliff, drop, drop-off",n09246464
973,coral reef,n09256479
974,geyser,n09288635
975,"lakeside, lakeshore",n09332890
976,"promontory, headland, head, foreland",n09399592
977,"sandbar, sand bar",n09421951
978,"seashore, coast, seacoast, sea-coast",n09428293
979,"valley, vale",n09468604
980,volcano,n09472597
981,"ballplayer, baseball player",n09835506
982,"groom, bridegroom",n10148035
983,scuba diver,n10565667
984,rapeseed,n11879895
985,daisy,n11939491
986,"yellow lady's slipper, yellow lady-slipper, Cypripedium calceolus, Cypripedium parviflorum",n12057211
987,corn,n12144580
988,acorn,n12267677
989,"hip, rose hip, rosehip",n12620546
990,"buckeye, horse chestnut, conker",n12768682
991,coral fungus,n12985857
992,agaric,n12998815
993,gyromitra,n13037406
994,"stinkhorn, carrion fungus",n13040303
995,earthstar,n13044778
996,"hen-of-the-woods, hen of the woods, Polyporus frondosus, Grifola frondosa",n13052670
997,bolete,n13054560
998,"ear, spike, capitulum",n13133613
999,"toilet tissue, toilet paper, bathroom tissue",n15075141
