class_number,wordnet_id,label,uri,n_train,n_val,n_humans_train,n_humans_val,Nunique_humans_train,gender_skewness_train,age_min_train,age_max_train,n_women_train,mean_age_women_train,std_age_women_train,n_men_train,mean_age_men_train,std_age_men_train,age_min_val,age_max_val,Nunique_humans_val,gender_skewness_val,n_women_val,mean_age_women_val,std_age_women_val,n_men_val,mean_age_men_val,std_age_men_val,age_min,age_max
257,n02111500,Great Pyrenees,http://wordnet-rdf.princeton.edu/wn30/02111500-n,1300,50,110,1,132,-0.818572932408226,12.0,53.0,41.0,25.365853658536587,7.783816857946285,91.0,31.186813186813186,8.51131545899286,25.0,32.0,2,0.0,1.0,32.0,,1.0,25.0,,25.0,32.0
258,n02111889,"Samoyed, Samoyede",http://wordnet-rdf.princeton.edu/wn30/02111889-n,1300,50,73,1,86,-0.5292377467571571,6.0,67.0,32.0,25.59375,8.515107541987529,54.0,30.5,10.395481601919608,59.0,59.0,1,0.0,,,,1.0,59.0,,59.0,59.0
259,n02112018,Pomeranian,http://wordnet-rdf.princeton.edu/wn30/02112018-n,1300,50,43,0,49,-0.2886751345948127,2.0,60.0,21.0,31.333333333333332,12.439185396694326,28.0,40.57142857142857,9.069397347892982,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,2.0,60.0
260,n02112137,"chow, chow chow",http://wordnet-rdf.princeton.edu/wn30/02112137-n,1300,50,41,1,52,-0.7379280555217091,15.0,62.0,17.0,25.0,7.314369419163897,35.0,36.8,10.229139461247318,72.0,72.0,1,0.0,,,,1.0,72.0,,72.0,72.0
261,n02112350,keeshond,http://wordnet-rdf.princeton.edu/wn30/02112350-n,1300,50,35,0,39,-0.4743416490252573,16.0,53.0,15.0,26.533333333333335,8.82259005270534,24.0,33.125,10.343292302365525,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,53.0
262,n02112706,Brabancon griffon,http://wordnet-rdf.princeton.edu/wn30/02112706-n,1070,50,51,2,58,-0.7347183583706451,14.0,73.0,19.0,29.789473684210527,12.514786575924324,39.0,36.35897435897436,11.976923380285104,29.0,30.0,2,0.0,1.0,30.0,,1.0,29.0,,29.0,30.0
263,n02113023,"Pembroke, Pembroke Welsh corgi",http://wordnet-rdf.princeton.edu/wn30/02113023-n,1300,50,63,1,63,-0.9486832980505143,15.0,61.0,18.0,28.666666666666668,11.339675272869044,45.0,32.71111111111111,7.921840414673573,38.0,38.0,1,0.0,,,,1.0,38.0,,15.0,61.0
264,n02113186,"Cardigan, Cardigan Welsh corgi",http://wordnet-rdf.princeton.edu/wn30/02113186-n,1300,50,53,0,65,-0.7566444492037349,9.0,69.0,21.0,22.285714285714285,6.679392615671407,44.0,34.93181818181818,11.909343073036801,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,69.0
265,n02113624,toy poodle,http://wordnet-rdf.princeton.edu/wn30/02113624-n,1300,50,80,2,86,-0.9218655355168514,8.0,70.0,25.0,29.96,12.39448802223526,61.0,35.622950819672134,11.458859650108048,25.0,27.0,2,0.0,2.0,26.0,1.4142135623730951,,,,8.0,70.0
266,n02113712,miniature poodle,http://wordnet-rdf.princeton.edu/wn30/02113712-n,1300,50,74,2,80,-0.8090398349558905,15.0,66.0,25.0,27.84,6.884039511798288,55.0,34.14545454545455,10.416187867783956,35.0,45.0,2,0.0,1.0,45.0,,1.0,35.0,,35.0,45.0
267,n02113799,standard poodle,http://wordnet-rdf.princeton.edu/wn30/02113799-n,1300,50,70,6,82,-0.7862136275414395,5.0,73.0,26.0,25.923076923076923,7.620619801160937,56.0,34.69642857142857,13.663381243783949,18.0,63.0,6,-0.7071067811865475,2.0,31.0,18.384776310850235,4.0,48.75,10.21028892833107,5.0,73.0
268,n02113978,Mexican hairless,http://wordnet-rdf.princeton.edu/wn30/02113978-n,755,50,29,2,31,-1.841821840544761,16.0,45.0,5.0,22.2,6.340346993658944,26.0,33.96153846153846,7.448386505711256,36.0,42.0,2,0.0,,,,2.0,39.0,4.242640687119285,36.0,42.0
269,n02114367,"timber wolf, grey wolf, gray wolf, Canis lupus",http://wordnet-rdf.princeton.edu/wn30/02114367-n,1300,50,9,0,10,-0.8728715609439691,19.0,59.0,3.0,29.0,8.888194417315589,7.0,36.57142857142857,12.011898862615949,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,59.0
270,n02114548,"white wolf, Arctic wolf, Canis lupus tundrarum",http://wordnet-rdf.princeton.edu/wn30/02114548-n,1300,50,9,3,9,-0.7071067811865474,15.0,53.0,3.0,23.0,6.928203230275509,6.0,34.0,12.231107881136523,19.0,45.0,3,0.0,,,,3.0,31.333333333333332,13.051181300301261,15.0,53.0
271,n02114712,"red wolf, maned wolf, Canis rufus, Canis niger",http://wordnet-rdf.princeton.edu/wn30/02114712-n,1300,50,2,0,5,-1.5000000000000004,17.0,34.0,1.0,17.0,,4.0,29.75,4.9916597106239795,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,34.0
272,n02114855,"coyote, prairie wolf, brush wolf, Canis latrans",http://wordnet-rdf.princeton.edu/wn30/02114855-n,1300,50,4,0,4,-1.1547005383792515,17.0,30.0,1.0,17.0,,3.0,29.333333333333332,1.1547005383792515,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,30.0
273,n02115641,"dingo, warrigal, warragal, Canis dingo",http://wordnet-rdf.princeton.edu/wn30/02115641-n,1300,50,38,1,44,-1.301582746911937,13.0,54.0,10.0,26.8,6.892830413633511,34.0,33.64705882352941,7.885092774155609,28.0,28.0,1,0.0,1.0,28.0,,,,,13.0,54.0
274,n02115913,"dhole, Cuon alpinus",http://wordnet-rdf.princeton.edu/wn30/02115913-n,1300,50,2,0,2,0.0,19.0,35.0,1.0,19.0,,1.0,35.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,35.0
275,n02116738,"African hunting dog, hyena dog, Cape hunting dog, Lycaon pictus",http://wordnet-rdf.princeton.edu/wn30/02116738-n,1300,50,8,0,8,0.5163977794943223,16.0,41.0,5.0,27.8,9.628083921528727,3.0,40.333333333333336,0.5773502691896258,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,41.0
276,n02117135,"hyena, hyaena",http://wordnet-rdf.princeton.edu/wn30/02117135-n,1300,50,8,0,9,-1.3363062095621225,17.0,45.0,2.0,27.0,14.142135623730951,7.0,32.42857142857143,10.162957949618521,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,45.0
277,n02119022,"red fox, Vulpes vulpes",http://wordnet-rdf.princeton.edu/wn30/02119022-n,1300,50,1,1,1,0.0,24.0,24.0,,,,1.0,24.0,,39.0,39.0,1,0.0,,,,1.0,39.0,,24.0,24.0
278,n02119789,"kit fox, Vulpes macrotis",http://wordnet-rdf.princeton.edu/wn30/02119789-n,1300,50,2,0,2,0.0,40.0,50.0,,,,2.0,45.0,7.0710678118654755,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,40.0,50.0
279,n02120079,"Arctic fox, white fox, Alopex lagopus",http://wordnet-rdf.princeton.edu/wn30/02120079-n,1300,50,10,0,11,-0.1825741858350551,15.0,53.0,5.0,24.2,11.256109452204166,6.0,37.166666666666664,8.424171571535487,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,53.0
280,n02120505,"grey fox, gray fox, Urocyon cinereoargenteus",http://wordnet-rdf.princeton.edu/wn30/02120505-n,1300,50,7,0,8,0.5163977794943223,16.0,62.0,5.0,21.8,6.760177512462228,3.0,46.0,15.0996688705415,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,62.0
281,n02123045,"tabby, tabby cat",http://wordnet-rdf.princeton.edu/wn30/02123045-n,1300,50,6,0,6,0.0,28.0,47.0,,,,6.0,37.166666666666664,7.413950813612582,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,47.0
282,n02123159,tiger cat,http://wordnet-rdf.princeton.edu/wn30/02123159-n,1300,50,16,0,17,-0.9036961141150641,18.0,65.0,5.0,25.8,8.228000972289685,12.0,42.416666666666664,13.255930633859585,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,65.0
283,n02123394,Persian cat,http://wordnet-rdf.princeton.edu/wn30/02123394-n,1300,50,18,0,18,-0.45584230583855223,5.0,72.0,7.0,27.0,11.075498483890767,11.0,39.54545454545455,14.257374487356616,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,72.0
284,n02123597,"Siamese cat, Siamese",http://wordnet-rdf.princeton.edu/wn30/02123597-n,1300,50,27,0,29,-1.4471361022898732,14.0,54.0,6.0,27.166666666666668,10.225784403490358,23.0,33.43478260869565,8.887304975262193,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,54.0
285,n02124075,Egyptian cat,http://wordnet-rdf.princeton.edu/wn30/02124075-n,1300,50,22,0,23,-0.8504200642707608,21.0,49.0,7.0,28.571428571428573,5.061526214398936,16.0,40.25,5.144576432192126,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,21.0,49.0
286,n02125311,"cougar, puma, catamount, mountain lion, painter, panther, Felis concolor",http://wordnet-rdf.princeton.edu/wn30/02125311-n,1300,50,21,0,22,-0.7807200583588261,15.0,53.0,7.0,28.714285714285715,10.387721689800987,15.0,33.0,11.600492600378166,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,53.0
287,n02127052,"lynx, catamount",http://wordnet-rdf.princeton.edu/wn30/02127052-n,1300,50,8,0,9,-1.3363062095621225,25.0,45.0,2.0,44.0,1.4142135623730951,7.0,37.285714285714285,6.750661343263235,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,45.0
288,n02128385,"leopard, Panthera pardus",http://wordnet-rdf.princeton.edu/wn30/02128385-n,1300,50,4,0,4,0.0,28.0,66.0,2.0,28.5,0.7071067811865476,2.0,53.5,17.67766952966369,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,66.0
289,n02128757,"snow leopard, ounce, Panthera uncia",http://wordnet-rdf.princeton.edu/wn30/02128757-n,1300,50,4,0,4,0.0,33.0,65.0,2.0,35.0,2.8284271247461903,2.0,52.0,18.384776310850235,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,65.0
290,n02128925,"jaguar, panther, Panthera onca, Felis onca",http://wordnet-rdf.princeton.edu/wn30/02128925-n,1300,50,4,0,4,-1.1547005383792515,34.0,37.0,1.0,34.0,,3.0,36.0,1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,37.0
291,n02129165,"lion, king of beasts, Panthera leo",http://wordnet-rdf.princeton.edu/wn30/02129165-n,1300,50,7,0,7,-0.9486832980505139,28.0,48.0,2.0,32.5,6.363961030678928,5.0,43.4,4.219004621945797,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,28.0,48.0
292,n02129604,"tiger, Panthera tigris",http://wordnet-rdf.princeton.edu/wn30/02129604-n,1300,50,15,0,19,-0.7925939239012174,15.0,37.0,6.0,21.0,5.692099788303083,13.0,28.46153846153846,7.355444521071728,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,37.0
293,n02130308,"cheetah, chetah, Acinonyx jubatus",http://wordnet-rdf.princeton.edu/wn30/02130308-n,1300,50,24,0,28,-0.5962847939999442,15.0,46.0,10.0,25.5,8.263036837493694,18.0,32.44444444444444,6.635219950449998,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,46.0
294,n02132136,"brown bear, bruin, Ursus arctos",http://wordnet-rdf.princeton.edu/wn30/02132136-n,1300,50,10,0,11,-1.6499158227686117,16.0,44.0,2.0,25.0,12.727922061357855,9.0,33.888888888888886,7.27056470372908,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,44.0
295,n02133161,"American black bear, black bear, Ursus americanus, Euarctos americanus",http://wordnet-rdf.princeton.edu/wn30/02133161-n,1300,50,33,0,39,-1.1157184170779364,16.0,70.0,10.0,28.2,8.56089299599574,29.0,34.6551724137931,10.820865631035536,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,70.0
296,n02134084,"ice bear, polar bear, Ursus Maritimus, Thalarctos maritimus",http://wordnet-rdf.princeton.edu/wn30/02134084-n,1300,50,9,0,11,-0.5669467095138409,16.0,42.0,4.0,23.5,12.396235987858034,7.0,31.0,9.60902353693305,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,42.0
297,n02134418,"sloth bear, Melursus ursinus, Ursus ursinus",http://wordnet-rdf.princeton.edu/wn30/02134418-n,1300,50,19,3,20,-1.9603921176392138,9.0,50.0,3.0,20.333333333333332,4.041451884327381,17.0,32.0,11.363318177363512,33.0,63.0,3,0.0,,,,3.0,44.0,16.522711641858304,33.0,63.0
298,n02137549,mongoose,http://wordnet-rdf.princeton.edu/wn30/02137549-n,1300,50,3,0,3,0.0,26.0,39.0,,,,3.0,31.666666666666668,6.658328118479393,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,26.0,39.0
299,n02138441,"meerkat, mierkat",http://wordnet-rdf.princeton.edu/wn30/02138441-n,1300,50,28,0,28,-1.1547005383792515,13.0,48.0,7.0,26.714285714285715,8.240434570140211,21.0,33.61904761904762,9.646119377636744,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.0,48.0
300,n02165105,tiger beetle,http://wordnet-rdf.princeton.edu/wn30/02165105-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
301,n02165456,"ladybug, ladybeetle, lady beetle, ladybird, ladybird beetle",http://wordnet-rdf.princeton.edu/wn30/02165456-n,1300,50,1,0,1,0.0,34.0,34.0,,,,1.0,34.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,34.0
302,n02167151,"ground beetle, carabid beetle",http://wordnet-rdf.princeton.edu/wn30/02167151-n,1300,50,5,0,5,-0.4082482904638629,32.0,42.0,2.0,33.0,1.4142135623730951,3.0,36.333333333333336,5.131601439446884,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,32.0,42.0
303,n02168699,"long-horned beetle, longicorn, longicorn beetle",http://wordnet-rdf.princeton.edu/wn30/02168699-n,1300,50,2,0,2,0.0,33.0,37.0,,,,2.0,35.0,2.8284271247461903,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,33.0,37.0
304,n02169497,"leaf beetle, chrysomelid",http://wordnet-rdf.princeton.edu/wn30/02169497-n,1300,50,1,0,1,0.0,8.0,8.0,1.0,8.0,,,,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,8.0
305,n02172182,dung beetle,http://wordnet-rdf.princeton.edu/wn30/02172182-n,1300,50,5,0,5,0.0,18.0,52.0,,,,5.0,37.0,13.638181696985855,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,18.0,52.0
306,n02174001,rhinoceros beetle,http://wordnet-rdf.princeton.edu/wn30/02174001-n,1300,50,22,3,28,-0.596284793999944,7.0,40.0,10.0,22.2,10.053191864610298,18.0,28.555555555555557,7.53987222720746,32.0,40.0,3,-0.7071067811865475,1.0,32.0,,2.0,37.5,3.5355339059327378,32.0,40.0
307,n02177972,weevil,http://wordnet-rdf.princeton.edu/wn30/02177972-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
308,n02190166,fly,http://wordnet-rdf.princeton.edu/wn30/02190166-n,1300,50,2,0,2,0.0,17.0,55.0,,,,2.0,36.0,26.870057685088806,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,55.0
309,n02206856,bee,http://wordnet-rdf.princeton.edu/wn30/02206856-n,1300,50,1,0,1,0.0,34.0,34.0,,,,1.0,34.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,34.0,34.0
310,n02219486,"ant, emmet, pismire",http://wordnet-rdf.princeton.edu/wn30/02219486-n,1300,50,1,0,1,0.0,14.0,14.0,1.0,14.0,,,,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,14.0,14.0
311,n02226429,"grasshopper, hopper",http://wordnet-rdf.princeton.edu/wn30/02226429-n,1300,50,1,0,1,0.0,15.0,15.0,,,,1.0,15.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,15.0
312,n02229544,cricket,http://wordnet-rdf.princeton.edu/wn30/02229544-n,1300,50,1,0,1,0.0,19.0,19.0,,,,1.0,19.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,19.0
313,n02231487,"walking stick, walkingstick, stick insect",http://wordnet-rdf.princeton.edu/wn30/02231487-n,1300,50,26,1,32,-0.9730672655996823,15.0,78.0,9.0,21.333333333333332,5.979130371550698,23.0,37.69565217391305,12.440530471767364,50.0,50.0,1,0.0,,,,1.0,50.0,,15.0,78.0
314,n02233338,"cockroach, roach",http://wordnet-rdf.princeton.edu/wn30/02233338-n,1300,50,17,0,18,-1.7888543819998322,23.0,54.0,3.0,31.666666666666668,2.886751345948129,15.0,32.46666666666667,7.6799057533899715,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,23.0,54.0
315,n02236044,"mantis, mantid",http://wordnet-rdf.princeton.edu/wn30/02236044-n,1300,50,5,1,6,-1.7888543819998322,18.0,50.0,1.0,18.0,,5.0,36.6,8.264381404557755,33.0,33.0,1,0.0,,,,1.0,33.0,,18.0,50.0
316,n02256656,"cicada, cicala",http://wordnet-rdf.princeton.edu/wn30/02256656-n,1300,50,3,0,3,0.0,19.0,49.0,,,,3.0,31.333333333333332,15.695009822658072,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,49.0
317,n02259212,leafhopper,http://wordnet-rdf.princeton.edu/wn30/02259212-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
318,n02264363,"lacewing, lacewing fly",http://wordnet-rdf.princeton.edu/wn30/02264363-n,1300,50,2,0,2,0.0,16.0,27.0,1.0,16.0,,1.0,27.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,27.0
319,n02268443,"dragonfly, darning needle, devil's darning needle, sewing needle, snake feeder, snake doctor, mosquito hawk, skeeter hawk",http://wordnet-rdf.princeton.edu/wn30/02268443-n,1300,50,1,0,1,0.0,36.0,36.0,,,,1.0,36.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,36.0,36.0
320,n02268853,damselfly,http://wordnet-rdf.princeton.edu/wn30/02268853-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
321,n02276258,admiral,http://wordnet-rdf.princeton.edu/wn30/02276258-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
322,n02277742,"ringlet, ringlet butterfly",http://wordnet-rdf.princeton.edu/wn30/02277742-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
323,n02279972,"monarch, monarch butterfly, milkweed butterfly, Danaus plexippus",http://wordnet-rdf.princeton.edu/wn30/02279972-n,1300,50,2,0,2,0.0,19.0,29.0,2.0,24.0,7.0710678118654755,,,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,29.0
324,n02280649,cabbage butterfly,http://wordnet-rdf.princeton.edu/wn30/02280649-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
325,n02281406,"sulphur butterfly, sulfur butterfly",http://wordnet-rdf.princeton.edu/wn30/02281406-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
326,n02281787,"lycaenid, lycaenid butterfly",http://wordnet-rdf.princeton.edu/wn30/02281787-n,1300,50,0,0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,,
327,n02317335,"starfish, sea star",http://wordnet-rdf.princeton.edu/wn30/02317335-n,1300,50,18,2,20,-0.4082482904638627,8.0,49.0,8.0,25.375,9.085899593797603,12.0,34.583333333333336,7.476731582149727,17.0,41.0,2,0.0,1.0,17.0,,1.0,41.0,,8.0,49.0
328,n02319095,sea urchin,http://wordnet-rdf.princeton.edu/wn30/02319095-n,1300,50,7,0,7,-2.0412414523193148,30.0,42.0,1.0,33.0,,6.0,35.333333333333336,5.316640543300503,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,30.0,42.0
329,n02321529,"sea cucumber, holothurian",http://wordnet-rdf.princeton.edu/wn30/02321529-n,1300,50,11,2,11,0.1825741858350553,18.0,59.0,6.0,30.0,11.063453348751466,5.0,39.6,11.674759098157015,29.0,43.0,4,-1.1547005383792515,1.0,29.0,,3.0,37.333333333333336,4.932882862316248,29.0,43.0
330,n02325366,"wood rabbit, cottontail, cottontail rabbit",http://wordnet-rdf.princeton.edu/wn30/02325366-n,1300,50,6,1,6,0.0,23.0,49.0,3.0,25.666666666666668,3.7859388972001824,3.0,38.666666666666664,10.016652800877813,37.0,37.0,1,0.0,,,,1.0,37.0,,23.0,49.0
331,n02326432,hare,http://wordnet-rdf.princeton.edu/wn30/02326432-n,1300,50,1,0,1,0.0,42.0,42.0,,,,1.0,42.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,42.0
332,n02328150,"Angora, Angora rabbit",http://wordnet-rdf.princeton.edu/wn30/02328150-n,1300,50,80,5,89,-0.6893048983852156,15.0,53.0,30.0,27.866666666666667,6.21862238504768,59.0,32.779661016949156,7.2517959644970365,29.0,44.0,5,0.0,,,,5.0,35.6,5.683308895353129,15.0,53.0
333,n02342885,hamster,http://wordnet-rdf.princeton.edu/wn30/02342885-n,1300,50,12,0,12,-0.7071067811865472,19.0,44.0,4.0,30.0,2.581988897471611,8.0,33.25,7.45941399460153,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,19.0,44.0
334,n02346627,"porcupine, hedgehog",http://wordnet-rdf.princeton.edu/wn30/02346627-n,1300,50,8,0,8,-0.5163977794943223,16.0,65.0,3.0,23.0,6.557438524302,5.0,42.0,15.083103128998356,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,65.0
335,n02356798,"fox squirrel, eastern fox squirrel, Sciurus niger",http://wordnet-rdf.princeton.edu/wn30/02356798-n,1206,50,2,0,2,0.0,31.0,40.0,1.0,40.0,,1.0,31.0,,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,31.0,40.0
336,n02361337,marmot,http://wordnet-rdf.princeton.edu/wn30/02361337-n,1300,50,4,0,4,0.0,25.0,51.0,,,,4.0,39.25,10.719919153924002,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,25.0,51.0
337,n02363005,beaver,http://wordnet-rdf.princeton.edu/wn30/02363005-n,1300,50,8,0,8,0.0,17.0,45.0,,,,8.0,28.625,11.463451237987375,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,45.0
338,n02364673,"guinea pig, Cavia cobaya",http://wordnet-rdf.princeton.edu/wn30/02364673-n,1300,50,29,3,39,-0.968664899906922,18.0,56.0,11.0,29.0,5.89915248150105,28.0,31.75,7.250159640643426,22.0,46.0,5,-1.5000000000000004,1.0,27.0,,4.0,33.75,9.878427675158296,18.0,56.0
339,n02389026,sorrel,http://wordnet-rdf.princeton.edu/wn30/02389026-n,1300,50,31,3,33,-1.0206207261596576,16.0,68.0,9.0,25.555555555555557,7.037597443572471,24.0,31.0,10.249072068283526,18.0,29.0,3,0.7071067811865478,2.0,23.5,7.7781745930520225,1.0,19.0,,16.0,68.0
340,n02391049,zebra,http://wordnet-rdf.princeton.edu/wn30/02391049-n,1300,50,10,0,10,-0.8728715609439691,17.0,44.0,3.0,23.0,8.717797887081348,7.0,34.57142857142857,4.68533680244878,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,44.0
341,n02395406,"hog, pig, grunter, squealer, Sus scrofa",http://wordnet-rdf.princeton.edu/wn30/02395406-n,1300,50,34,0,42,-1.5764815627361648,15.0,58.0,8.0,26.5,6.740072064048828,34.0,28.676470588235293,8.775726122889045,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,15.0,58.0
342,n02396427,"wild boar, boar, Sus scrofa",http://wordnet-rdf.princeton.edu/wn30/02396427-n,1300,50,21,0,26,-1.0405319634289438,11.0,54.0,7.0,26.857142857142858,10.792413561210045,19.0,32.8421052631579,9.995905594540735,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,54.0
343,n02397096,warthog,http://wordnet-rdf.princeton.edu/wn30/02397096-n,1300,50,33,0,36,-0.9922778767136675,17.0,50.0,10.0,27.3,6.896859188548557,26.0,36.11538461538461,7.190699120819466,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,17.0,50.0
